ID,Name,Nationality,Age,Overall,Club
1,Manuel Neuer,Germany,34,89,Bayern Munich
2,Toni Kroos,Germany,30,88,Real Madrid
3,Marco Reus,Germany,31,86,Borussia Dortmund
4,Joshua Kimmich,Germany,25,88,Bayern Munich
5,Timo Werner,Germany,24,85,Chelsea
6,Marc-André ter Stegen,Germany,28,90,Barcelona
7,Ilkay Gündogan,Germany,29,85,Manchester City
8,Leon Goretzka,Germany,25,84,Bayern Munich
9,Thomas Müller,Germany,31,86,Bayern Munich
10,Serge Gnabry,Germany,25,85,Bayern Munich
11,Lionel Messi,Argentina,33,93,Barcelona
12,Cristiano Ronaldo,Portugal,35,92,Juventus
13,Neymar Jr,Brazil,28,91,Paris Saint-Germain
14,Kylian Mbappé,France,21,90,Paris Saint-Germain
15,Kevin De Bruyne,Belgium,29,91,Manchester City
16,Virgil van Dijk,Netherlands,29,90,Liverpool
17,Harry Kane,England,27,88,Tottenham Hotspur
18,Raheem Sterling,England,25,88,Manchester City
19,Luka Modric,Croatia,35,87,Real Madrid
20,Robert Lewandowski,Poland,32,91,Bayern Munich
